iter	Passed	Remaining
0	95	95651
1	128	64118
2	159	53168
3	191	47604
4	225	44793
5	259	43039
6	295	41862
7	325	40398
8	357	39408
9	397	39373
10	434	39023
11	472	38868
12	506	38422
13	539	38000
14	575	37762
15	614	37818
16	654	37825
17	686	37456
18	720	37196
19	755	36998
20	789	36823
21	825	36675
22	856	36388
23	902	36682
24	943	36777
25	977	36617
26	1012	36493
27	1052	36539
28	1089	36483
29	1129	36529
30	1166	36472
31	1198	36259
32	1230	36064
33	1264	35938
34	1306	36023
35	1338	35851
36	1378	35866
37	1412	35746
38	1453	35817
39	1484	35632
40	1517	35500
41	1532	34963
42	1548	34459
43	1564	33984
44	1578	33492
45	1592	33032
46	1606	32576
47	1627	32286
48	1645	31944
49	1660	31549
50	1676	31196
51	1691	30836
52	1705	30476
53	1720	30134
54	1733	29788
55	1748	29470
56	1762	29163
57	1776	28860
58	1793	28596
59	1806	28297
60	1820	28021
61	1849	27982
62	1886	28062
63	1917	28038
64	1941	27929
65	1956	27682
66	1970	27437
67	1984	27194
68	1996	26942
69	2010	26705
70	2025	26500
71	2039	26282
72	2052	26065
73	2067	25865
74	2079	25652
75	2093	25448
76	2106	25252
77	2121	25077
78	2136	24911
79	2151	24743
80	2167	24589
81	2180	24411
82	2193	24238
83	2208	24083
84	2223	23937
85	2237	23780
86	2250	23616
87	2263	23458
88	2277	23307
89	2290	23157
90	2304	23017
91	2318	22879
92	2331	22737
93	2345	22607
94	2363	22515
95	2381	22421
96	2395	22302
97	2409	22178
98	2423	22052
99	2436	21924
100	2452	21827
101	2465	21707
102	2477	21578
103	2491	21469
104	2505	21353
105	2518	21239
106	2531	21126
107	2545	21021
108	2559	20918
109	2575	20840
110	2589	20735
111	2604	20646
112	2617	20549
113	2637	20494
114	2650	20394
115	2665	20311
116	2679	20220
117	2693	20130
118	2706	20035
119	2720	19947
120	2733	19857
121	2748	19781
122	2761	19692
123	2775	19606
124	2789	19523
125	2802	19442
126	2818	19375
127	2831	19287
128	2844	19206
129	2858	19127
130	2870	19044
131	2884	18969
132	2900	18908
133	2916	18845
134	2931	18785
135	2946	18716
136	2960	18646
137	2973	18572
138	2988	18509
139	3000	18428
140	3016	18376
141	3031	18314
142	3043	18241
143	3057	18175
144	3073	18120
145	3086	18051
146	3100	17988
147	3113	17922
148	3128	17867
149	3141	17799
150	3154	17733
151	3168	17676
152	3181	17611
153	3196	17558
154	3211	17510
155	3226	17458
156	3241	17405
157	3256	17356
158	3271	17306
159	3285	17247
160	3299	17194
161	3321	17181
162	3334	17122
163	3349	17076
164	3363	17021
165	3376	16964
166	3389	16904
167	3408	16878
168	3427	16851
169	3441	16804
170	3456	16758
171	3471	16713
172	3487	16670
173	3499	16613
174	3514	16570
175	3528	16518
176	3541	16465
177	3555	16418
178	3569	16372
179	3582	16318
180	3595	16268
181	3608	16220
182	3622	16170
183	3640	16142
184	3653	16093
185	3667	16049
186	3680	16001
187	3694	15958
188	3707	15908
189	3722	15867
190	3736	15828
191	3751	15789
192	3765	15745
193	3780	15705
194	3793	15661
195	3806	15613
196	3819	15568
197	3831	15520
198	3845	15480
199	3861	15445
200	3873	15397
201	3891	15372
202	3910	15351
203	3923	15308
204	3938	15274
205	3952	15233
206	3966	15194
207	3981	15160
208	3993	15114
209	4005	15069
210	4019	15030
211	4035	14999
212	4048	14960
213	4065	14933
214	4078	14892
215	4093	14858
216	4108	14824
217	4121	14783
218	4132	14738
219	4147	14703
220	4162	14672
221	4176	14635
222	4189	14598
223	4203	14561
224	4217	14525
225	4231	14491
226	4245	14455
227	4259	14422
228	4274	14390
229	4289	14360
230	4302	14324
231	4320	14301
232	4337	14279
233	4362	14279
234	4376	14246
235	4389	14209
236	4404	14180
237	4420	14154
238	4433	14115
239	4447	14085
240	4462	14053
241	4476	14021
242	4496	14007
243	4513	13984
244	4528	13955
245	4543	13925
246	4560	13903
247	4576	13876
248	4589	13841
249	4605	13816
250	4621	13789
251	4636	13763
252	4654	13743
253	4669	13712
254	4682	13679
255	4696	13647
256	4708	13613
257	4721	13578
258	4735	13547
259	4749	13519
260	4764	13490
261	4777	13456
262	4789	13420
263	4806	13398
264	4819	13367
265	4832	13336
266	4852	13320
267	4864	13287
268	4876	13251
269	4891	13224
270	4905	13194
271	4919	13166
272	4933	13137
273	4947	13107
274	4959	13074
275	4972	13043
276	4986	13014
277	5000	12988
278	5014	12959
279	5029	12932
280	5045	12909
281	5057	12877
282	5071	12847
283	5085	12821
284	5099	12793
285	5113	12765
286	5127	12738
287	5141	12710
288	5155	12683
289	5170	12659
290	5184	12632
291	5197	12603
292	5210	12572
293	5222	12540
294	5234	12510
295	5249	12484
296	5266	12466
297	5298	12481
298	5322	12478
299	5342	12466
300	5374	12480
301	5397	12475
302	5414	12456
303	5434	12441
304	5460	12441
305	5493	12458
306	5532	12488
307	5567	12509
308	5600	12523
309	5643	12562
310	5680	12585
311	5715	12602
312	5751	12624
313	5782	12634
314	5813	12641
315	5851	12665
316	5884	12679
317	5914	12684
318	5951	12704
319	5986	12722
320	6023	12741
321	6068	12776
322	6102	12790
323	6134	12798
324	6168	12812
325	6202	12822
326	6236	12835
327	6267	12841
328	6300	12849
329	6341	12875
330	6375	12886
331	6405	12888
332	6439	12897
333	6477	12916
334	6522	12947
335	6556	12957
336	6589	12964
337	6619	12964
338	6657	12981
339	6690	12987
340	6722	12992
341	6745	12977
342	6774	12975
343	6805	12977
344	6851	13008
345	6882	13009
346	6910	13004
347	6942	13006
348	6969	13000
349	6999	12999
350	7026	12991
351	7055	12987
352	7087	12989
353	7116	12986
354	7145	12981
355	7172	12974
356	7200	12968
357	7230	12965
358	7255	12954
359	7287	12955
360	7311	12941
361	7329	12918
362	7360	12915
363	7389	12910
364	7433	12931
365	7464	12929
366	7495	12927
367	7518	12911
368	7555	12919
369	7584	12914
370	7621	12922
371	7647	12910
372	7680	12910
373	7719	12920
374	7764	12940
375	7804	12951
376	7866	12999
377	7906	13010
378	7942	13014
379	7975	13013
380	8022	13033
381	8074	13063
382	8105	13057
383	8142	13061
384	8178	13063
385	8209	13059
386	8248	13065
387	8278	13057
388	8311	13055
389	8344	13051
390	8388	13064
391	8420	13060
392	8455	13060
393	8487	13053
394	8517	13046
395	8550	13041
396	8587	13043
397	8614	13029
398	8640	13014
399	8665	12997
400	8703	13001
401	8735	12994
402	8767	12988
403	8796	12976
404	8826	12967
405	8860	12963
406	8885	12945
407	8923	12947
408	8954	12939
409	8994	12942
410	9028	12938
411	9058	12928
412	9089	12918
413	9121	12911
414	9151	12899
415	9187	12897
416	9228	12902
417	9262	12895
418	9294	12888
419	9330	12884
420	9349	12858
421	9391	12863
422	9406	12831
423	9421	12799
424	9438	12769
425	9455	12740
426	9478	12719
427	9499	12695
428	9523	12676
429	9559	12671
430	9595	12667
431	9633	12665
432	9668	12660
433	9707	12660
434	9734	12643
435	9772	12641
436	9807	12635
437	9838	12624
438	9860	12600
439	9884	12580
440	9914	12567
441	9947	12558
442	9979	12547
443	10003	12526
444	10038	12519
445	10077	12517
446	10109	12506
447	10140	12494
448	10186	12500
449	10218	12488
450	10248	12475
451	10282	12466
452	10317	12458
453	10351	12448
454	10382	12436
455	10408	12417
456	10432	12396
457	10465	12384
458	10485	12358
459	10499	12325
460	10514	12293
461	10527	12259
462	10542	12227
463	10557	12195
464	10571	12162
465	10584	12129
466	10597	12095
467	10610	12061
468	10624	12028
469	10640	11998
470	10653	11965
471	10665	11930
472	10679	11898
473	10695	11869
474	10711	11838
475	10731	11813
476	10745	11782
477	10759	11750
478	10775	11719
479	10789	11688
480	10802	11656
481	10816	11624
482	10830	11593
483	10844	11561
484	10870	11542
485	10885	11512
486	10900	11482
487	10916	11453
488	10928	11420
489	10943	11390
490	10957	11358
491	10970	11327
492	10984	11296
493	10998	11265
494	11012	11235
495	11025	11202
496	11039	11172
497	11054	11142
498	11067	11111
499	11079	11079
500	11092	11048
501	11106	11017
502	11119	10987
503	11133	10956
504	11144	10923
505	11160	10896
506	11174	10865
507	11187	10835
508	11201	10805
509	11218	10778
510	11233	10749
511	11247	10719
512	11258	10687
513	11273	10659
514	11287	10629
515	11302	10601
516	11315	10570
517	11331	10543
518	11363	10531
519	11402	10524
520	11432	10510
521	11460	10494
522	11494	10483
523	11525	10469
524	11547	10448
525	11576	10432
526	11590	10403
527	11611	10380
528	11649	10371
529	11677	10355
530	11704	10338
531	11744	10331
532	11767	10310
533	11805	10301
534	11840	10290
535	11879	10283
536	11910	10269
537	11937	10251
538	11962	10231
539	11994	10217
540	12026	10203
541	12052	10184
542	12088	10174
543	12119	10159
544	12149	10143
545	12181	10129
546	12209	10111
547	12235	10091
548	12263	10074
549	12289	10055
550	12307	10028
551	12322	10001
552	12339	9974
553	12355	9947
554	12371	9919
555	12399	9901
556	12416	9874
557	12435	9850
558	12451	9823
559	12482	9807
560	12514	9792
561	12534	9769
562	12558	9747
563	12577	9723
564	12599	9700
565	12625	9681
566	12655	9664
567	12675	9640
568	12693	9614
569	12711	9589
570	12746	9576
571	12775	9558
572	12794	9534
573	12809	9507
574	12830	9483
575	12850	9459
576	12872	9436
577	12901	9419
578	12923	9396
579	12942	9372
580	12964	9349
581	12993	9331
582	13025	9316
583	13060	9303
584	13095	9289
585	13118	9268
586	13130	9238
587	13148	9212
588	13163	9185
589	13177	9156
590	13190	9128
591	13204	9100
592	13217	9071
593	13231	9043
594	13246	9016
595	13260	8988
596	13274	8961
597	13285	8931
598	13299	8903
599	13312	8875
600	13326	8847
601	13339	8819
602	13354	8791
603	13367	8764
604	13382	8737
605	13395	8709
606	13409	8681
607	13423	8654
608	13437	8627
609	13449	8598
610	13464	8572
611	13476	8543
612	13492	8517
613	13504	8489
614	13518	8462
615	13531	8435
616	13544	8407
617	13557	8380
618	13572	8353
619	13585	8326
620	13600	8300
621	13614	8273
622	13628	8247
623	13643	8220
624	13656	8193
625	13670	8167
626	13684	8140
627	13699	8114
628	13713	8088
629	13726	8061
630	13739	8034
631	13758	8010
