iter	RMSE
0	19235067.37
1	18173486.8
2	17229199.42
3	16384558.23
4	15626509.19
5	14947767.41
6	14320850.86
7	13769016.15
8	13276688.35
9	12764491.95
10	12340392.89
11	11962121.33
12	11647839.55
13	11352063.09
14	11060434.06
15	10820873.67
16	10583026.05
17	10352414.59
18	10165045.36
19	9998750.359
20	9847510.209
21	9698267.109
22	9586652.685
23	9479605.702
24	9383676.834
25	9290179.068
26	9194687.44
27	9091465.333
28	9026605.35
29	8961101.978
30	8906911.848
31	8861152.709
32	8792291.188
33	8740028.152
34	8692040.487
35	8655966.706
36	8614141.561
37	8585158.964
38	8548745.753
39	8523905.138
40	8492788.868
41	8462323.686
42	8438863.002
43	8405150.527
44	8383333.438
45	8363716.908
46	8346978.388
47	8329709.766
48	8312800.026
49	8299038.103
50	8286967.264
51	8266454.931
52	8254562.987
53	8242420.092
54	8225484.704
55	8210403.245
56	8198022.835
57	8184505.511
58	8165326.053
59	8156697.72
60	8148698.21
61	8123893.478
62	8108446.473
63	8101346.509
64	8090557.702
65	8080444.313
66	8071043.305
67	8061723.398
68	8055061.977
69	8047234.897
70	8029404.815
71	8021854.566
72	8014487.193
73	8000151.167
74	7993050.646
75	7979144.271
76	7965815.053
77	7952165.685
78	7945574.927
79	7927179.519
80	7916001.967
81	7910283.281
82	7904668.028
83	7890694.387
84	7881298.857
85	7876157.165
86	7867932.424
87	7863646.781
88	7853909.488
89	7849534.118
90	7841531.711
91	7834604.763
92	7828141.217
93	7818985.341
94	7809462.803
95	7802672.449
96	7793036.206
97	7787698.169
98	7782535.432
99	7773694.614
100	7766180.595
101	7759417.83
102	7752089.164
103	7740597.088
104	7734015.911
105	7729211.556
106	7721007.915
107	7715389.195
108	7706545.012
109	7693356.18
110	7687219.878
111	7678352.67
112	7672981.537
113	7662838.005
114	7656221.087
115	7649099.74
116	7645419.331
117	7639464.609
118	7634385.411
119	7626775.617
120	7620126.313
121	7611535.811
122	7607052.208
123	7600808.322
124	7596909.502
125	7591062.626
