iter	Passed	Remaining
0	64	64840
1	79	39873
2	93	30995
3	107	26697
4	120	24004
5	134	22297
6	148	21103
7	163	20242
8	177	19509
9	192	19021
10	205	18512
11	219	18105
12	234	17773
13	247	17447
14	262	17223
15	275	16952
16	289	16758
17	303	16558
18	318	16443
19	332	16313
20	346	16167
21	361	16070
22	375	15955
23	390	15865
24	404	15761
25	419	15700
26	433	15619
27	448	15578
28	463	15534
29	478	15473
30	493	15411
31	507	15345
32	522	15307
33	536	15242
34	550	15182
35	564	15121
36	578	15065
37	592	14991
38	606	14952
39	621	14911
40	634	14835
41	649	14818
42	664	14785
43	679	14764
44	692	14705
45	707	14663
46	720	14603
47	734	14568
48	746	14497
49	759	14434
50	773	14393
51	787	14353
52	800	14310
53	818	14334
54	847	14565
55	876	14782
56	903	14954
57	921	14965
58	941	15010
59	968	15169
60	988	15222
61	1023	15479
62	1054	15688
63	1080	15804
64	1108	15951
65	1141	16158
66	1169	16290
67	1188	16295
68	1217	16428
69	1241	16489
70	1274	16677
71	1307	16851
72	1338	16991
73	1363	17060
74	1379	17018
75	1398	16999
76	1427	17110
77	1457	17226
78	1485	17321
79	1512	17397
80	1543	17508
81	1576	17648
82	1604	17729
83	1640	17884
84	1689	18191
85	1712	18195
86	1734	18206
87	1747	18110
88	1760	18019
89	1773	17930
90	1786	17846
91	1799	17759
92	1812	17676
93	1834	17676
94	1848	17605
95	1860	17523
96	1873	17443
97	1886	17366
98	1900	17292
99	1912	17210
100	1926	17144
101	1939	17073
102	1951	16992
103	1966	16941
104	1979	16869
105	1992	16800
106	2005	16741
107	2033	16795
108	2055	16803
109	2072	16769
110	2084	16696
111	2099	16645
112	2111	16577
113	2125	16517
114	2137	16449
115	2151	16398
116	2166	16348
117	2181	16303
118	2193	16235
119	2207	16185
120	2219	16124
121	2234	16079
122	2247	16025
123	2260	15972
124	2274	15923
125	2288	15873
126	2304	15838
127	2316	15778
128	2328	15722
129	2341	15671
130	2354	15620
131	2368	15575
132	2382	15529
133	2395	15479
134	2411	15448
135	2425	15406
136	2439	15364
137	2452	15319
138	2467	15285
139	2479	15228
140	2491	15181
141	2518	15217
142	2531	15169
143	2544	15127
144	2559	15091
145	2572	15046
146	2585	15003
147	2598	14960
148	2613	14929
149	2627	14887
150	2639	14839
151	2651	14795
152	2664	14751
153	2680	14726
154	2702	14731
155	2733	14791
156	2765	14847
157	2792	14881
158	2828	14960
159	2855	14991
160	2885	15036
161	2909	15048
162	2931	15055
163	2958	15078
164	2984	15103
165	3012	15134
166	3029	15111
167	3045	15084
168	3063	15064
169	3082	15052
170	3101	15037
171	3122	15032
172	3141	15018
173	3164	15019
174	3180	14992
175	3193	14950
176	3205	14906
177	3219	14869
178	3235	14839
179	3247	14795
180	3260	14754
181	3274	14717
182	3287	14677
183	3299	14633
184	3312	14592
185	3325	14553
186	3338	14513
187	3351	14475
188	3364	14435
189	3378	14401
190	3392	14370
191	3407	14340
192	3420	14303
193	3435	14271
194	3448	14235
195	3459	14192
196	3473	14156
197	3487	14127
198	3503	14102
199	3515	14060
200	3526	14018
201	3541	13992
202	3563	13991
203	3579	13965
204	3611	14004
205	3638	14025
206	3671	14064
207	3705	14109
208	3733	14130
209	3762	14154
210	3792	14182
211	3823	14213
212	3850	14226
213	3886	14276
214	3914	14293
215	3946	14325
216	3978	14355
217	4010	14384
218	4052	14452
219	4097	14528
220	4127	14548
221	4167	14605
222	4207	14661
223	4239	14687
224	4278	14738
225	4313	14774
226	4348	14807
227	4377	14822
228	4409	14847
229	4444	14880
230	4476	14902
231	4513	14941
232	4550	14980
233	4580	14993
234	4608	15002
235	4630	14991
236	4664	15016
237	4696	15036
238	4724	15042
239	4753	15053
240	4789	15083
241	4820	15099
242	4853	15119
243	4891	15156
244	4930	15193
245	4962	15210
246	4997	15236
247	5044	15297
248	5084	15335
249	5118	15354
250	5149	15366
251	5181	15380
252	5212	15389
253	5248	15415
254	5279	15424
255	5309	15429
256	5335	15426
257	5360	15417
258	5394	15432
259	5438	15479
260	5471	15492
261	5500	15494
262	5530	15497
263	5563	15510
264	5597	15525
265	5628	15530
266	5666	15556
267	5696	15557
268	5724	15555
269	5756	15563
270	5787	15567
271	5824	15589
272	5853	15588
273	5884	15592
274	5910	15582
275	5946	15599
276	5979	15606
277	6009	15607
278	6041	15612
279	6074	15619
280	6108	15629
281	6138	15628
282	6172	15639
283	6200	15632
284	6230	15630
285	6261	15631
286	6299	15649
287	6329	15646
288	6356	15638
289	6385	15633
290	6416	15633
291	6445	15628
292	6477	15629
293	6511	15635
294	6543	15638
295	6573	15633
296	6611	15648
297	6638	15638
298	6669	15637
299	6705	15645
300	6734	15638
301	6769	15646
302	6804	15651
303	6834	15646
304	6863	15640
305	6897	15643
306	6933	15650
307	6972	15666
308	7006	15668
309	7059	15713
310	7094	15717
311	7139	15743
312	7173	15745
313	7201	15733
314	7237	15738
315	7266	15729
316	7300	15729
317	7331	15723
318	7361	15714
319	7395	15715
320	7438	15734
321	7471	15731
322	7498	15716
323	7530	15711
324	7556	15695
325	7588	15689
326	7620	15683
327	7650	15673
328	7679	15662
329	7710	15654
330	7743	15650
331	7777	15647
332	7811	15645
333	7848	15649
334	7891	15665
335	7934	15679
336	7972	15684
337	7999	15668
338	8026	15650
339	8051	15630
340	8084	15623
341	8111	15607
342	8139	15590
343	8169	15578
344	8193	15556
345	8212	15523
346	8232	15492
347	8263	15482
348	8299	15481
349	8325	15460
350	8346	15431
351	8371	15411
352	8404	15404
353	8438	15398
354	8467	15384
355	8491	15360
356	8514	15334
357	8540	15316
358	8563	15289
359	8594	15279
360	8620	15258
361	8650	15245
362	8686	15243
363	8717	15231
364	8744	15212
365	8771	15193
366	8798	15176
367	8825	15156
368	8852	15137
369	8889	15136
370	8923	15128
371	8952	15112
372	8975	15088
373	9003	15070
374	9034	15058
375	9066	15046
376	9089	15020
377	9117	15002
378	9145	14985
379	9174	14969
380	9204	14954
381	9240	14948
382	9273	14939
383	9305	14927
384	9337	14915
385	9372	14908
386	9402	14893
387	9432	14878
388	9463	14864
389	9500	14859
390	9529	14842
391	9555	14820
392	9589	14810
393	9612	14785
394	9640	14765
395	9669	14748
396	9703	14738
397	9733	14722
398	9756	14696
399	9771	14657
400	9791	14625
401	9819	14606
402	9838	14574
403	9867	14556
404	9894	14536
405	9914	14506
406	9928	14465
407	9946	14432
408	9963	14397
409	9990	14376
410	10021	14361
411	10052	14347
412	10082	14330
413	10110	14310
414	10139	14292
415	10183	14295
416	10209	14273
417	10239	14256
418	10265	14235
419	10292	14213
420	10314	14186
421	10344	14169
422	10359	14130
423	10375	14095
424	10393	14062
425	10413	14030
426	10450	14024
427	10473	13997
428	10491	13963
429	10510	13932
430	10538	13912
431	10561	13886
432	10592	13869
433	10636	13871
434	10674	13864
435	10704	13847
436	10737	13833
437	10757	13802
438	10767	13759
439	10778	13718
440	10791	13679
441	10807	13643
442	10820	13605
443	10833	13566
444	10848	13529
445	10861	13491
446	10873	13452
447	10886	13414
448	10899	13375
449	10912	13338
450	10924	13298
451	10937	13260
452	10950	13222
453	10960	13181
454	10972	13143
455	10985	13105
456	10996	13065
457	11008	13028
458	11022	12992
459	11035	12955
460	11050	12920
461	11067	12888
462	11082	12853
463	11095	12817
464	11108	12781
465	11122	12745
