iter	RMSE
0	19435933.65
1	18368278.32
2	17397521.99
3	16555658.9
4	15785258.37
5	15086234.2
6	14456545.29
7	13904859.28
8	13364499.32
9	12855256.43
10	12427181.53
11	12037255.89
12	11696330.86
13	11393423.82
14	11128938.81
15	10878248.11
16	10660087.86
17	10459257.56
18	10256251.31
19	10087632.11
20	9942947.999
21	9789790.596
22	9668016.013
23	9548153.459
24	9447585.464
25	9358634.754
26	9281370.59
27	9203605.386
28	9131500.493
29	9064950.411
30	9015615.374
31	8958471.393
32	8886576.215
33	8826170.348
34	8779049.401
35	8735425.571
36	8699568.369
37	8662111.865
38	8629093.085
39	8598551.358
40	8570371.544
41	8537059.886
42	8517256.201
43	8495174.022
44	8470001.79
45	8454936.327
46	8437996.748
47	8421173.658
48	8393764.25
49	8381847.4
50	8369273.043
51	8354383.075
52	8343287.838
53	8320488.74
54	8293926.416
55	8276818.686
56	8263203.802
57	8249451.866
58	8234947.915
59	8215828.211
60	8207829.964
61	8196284.037
62	8182984.275
63	8173437.809
64	8157467.108
65	8147048.474
66	8140521.371
67	8133740.168
68	8128093.672
69	8115395.286
70	8103681.832
71	8086900.956
72	8078636.024
73	8063447.227
74	8054596.973
75	8032671.914
76	8016780.856
77	8006028.612
78	8000987.239
79	7987992.597
80	7978484.758
81	7973814.11
82	7966795.504
83	7951840.764
84	7946768.259
85	7942137.166
86	7931356.937
87	7921379.107
88	7908579.299
89	7903336.759
90	7893080.098
91	7882248.607
92	7878053.598
93	7869953.397
94	7863071.04
95	7854107.442
96	7846065.915
97	7839193.314
98	7831682.321
99	7827348.392
100	7820187.563
101	7816525.505
102	7812695.531
103	7807870.432
104	7801546.408
105	7798162.703
106	7781561.522
107	7776139.006
108	7772104.314
109	7761978.085
110	7753971.701
111	7743856.122
112	7732127.736
113	7724634.718
114	7715688.206
115	7709074.362
116	7704677.626
117	7702727.111
118	7699105.782
119	7695818.593
120	7682255.601
121	7675748.622
122	7668863.337
123	7659932.712
124	7653284.061
125	7648735.27
126	7644383.479
127	7635517.979
128	7630790.512
129	7626705.823
130	7617246.72
131	7612021.708
132	7607550.038
133	7602706.829
134	7596896.748
135	7586598.827
136	7583122.011
137	7578474.012
138	7571165.193
139	7567852.765
140	7560222.719
141	7555435.627
142	7548256.979
143	7535201.075
144	7528921.959
145	7526245.542
146	7524308.009
147	7514081.223
