iter	Passed	Remaining
0	15	15422
1	25	12779
2	36	11977
3	45	11425
4	54	10874
5	64	10684
6	73	10465
7	83	10316
8	95	10483
9	110	10985
10	128	11511
11	132	10902
12	136	10378
13	140	9883
14	149	9834
15	159	9810
16	163	9442
17	171	9366
18	177	9142
19	201	9864
20	207	9689
21	215	9577
22	224	9553
23	234	9540
24	252	9837
25	262	9841
26	270	9732
27	276	9601
28	282	9445
29	288	9315
30	292	9151
31	297	9002
32	302	8863
33	307	8738
34	313	8638
35	323	8668
36	328	8540
37	332	8429
38	338	8338
39	347	8338
40	352	8240
41	357	8162
42	366	8154
43	376	8181
44	381	8088
45	383	7962
46	392	7951
47	397	7875
48	405	7862
49	413	7848
50	420	7831
51	428	7811
52	433	7748
53	443	7776
54	452	7767
55	459	7747
56	477	7893
57	487	7918
58	490	7829
59	498	7815
60	501	7727
61	508	7690
62	512	7626
63	518	7580
64	525	7563
65	527	7469
66	536	7470
67	543	7443
68	546	7373
69	559	7439
70	571	7477
71	582	7505
72	598	7595
73	608	7609
74	617	7616
75	623	7579
76	636	7629
77	646	7645
78	657	7664
79	667	7681
80	677	7686
81	687	7698
82	696	7700
83	709	7735
84	721	7769
85	724	7703
86	729	7658
87	733	7598
88	736	7536
89	741	7497
90	745	7444
91	754	7442
92	760	7418
93	764	7373
94	769	7333
95	774	7292
96	783	7293
97	786	7243
98	790	7196
99	794	7151
100	798	7109
101	804	7084
102	817	7116
103	830	7154
104	838	7143
105	843	7117
106	852	7117
107	862	7127
108	868	7100
109	878	7104
110	886	7100
111	899	7129
112	908	7134
113	917	7130
114	927	7138
115	939	7156
116	944	7129
117	956	7153
118	971	7189
119	979	7185
120	990	7191
121	1003	7222
122	1012	7216
123	1025	7246
124	1039	7277
125	1049	7282
126	1059	7285
127	1066	7268
128	1070	7225
129	1074	7187
130	1077	7146
131	1080	7108
132	1084	7068
133	1087	7030
134	1091	6991
135	1094	6951
136	1097	6916
137	1102	6884
138	1112	6890
139	1122	6894
140	1142	6960
141	1152	6962
142	1163	6974
143	1172	6968
144	1181	6966
145	1192	6976
146	1201	6973
147	1205	6938
148	1212	6927
149	1222	6925
150	1226	6898
151	1231	6871
152	1237	6848
153	1241	6822
154	1251	6823
155	1260	6818
156	1267	6807
157	1277	6805
158	1282	6783
159	1285	6749
160	1289	6717
161	1297	6713
162	1305	6706
163	1314	6701
164	1326	6713
165	1333	6700
166	1343	6703
167	1348	6676
168	1352	6652
169	1356	6624
170	1361	6601
171	1365	6574
172	1370	6550
173	1374	6523
174	1382	6516
175	1388	6499
176	1392	6473
177	1396	6451
178	1400	6421
179	1403	6395
180	1409	6377
181	1415	6364
182	1421	6344
183	1432	6354
184	1439	6343
185	1445	6326
186	1449	6302
187	1456	6291
188	1462	6274
189	1466	6250
190	1469	6224
191	1473	6199
192	1480	6190
193	1491	6195
194	1498	6185
195	1506	6181
196	1513	6169
197	1523	6169
198	1531	6165
199	1547	6188
200	1549	6161
201	1554	6141
202	1568	6156
